date;hour;temp;load
2004-01-30;18;21;19837
2004-01-30;19;20;19936
2004-01-30;20;19;19429
2004-01-30;21;19;18840
2004-01-30;22;17;17931
2004-01-30;23;17;16617
2004-01-30;24;16;15322
2004-01-31;1;15;14348
2004-01-31;2;15;13843
2004-01-31;3;15;13625
2004-01-31;4;14;13571
2004-01-31;5;14;13699
2004-01-31;6;13;14138
2004-01-31;7;12;15013
2004-01-31;8;12;15963
2004-01-31;9;13;17095
2004-01-31;10;15;17710
2004-01-31;11;17;17806
2004-01-31;12;19;17578
2004-01-31;13;21;17121
2004-01-31;14;23;16728
2004-01-31;15;23;16447
2004-01-31;16;24;16417
2004-01-31;17;23;17026
2004-01-31;18;22;18645
2004-01-31;19;20;18779
2004-01-31;20;19;18436
2004-01-31;21;18;17912
2004-01-31;22;18;17165
2004-01-31;23;17;16097
2004-01-31;24;16;14982
2004-02-01;1;16;14145
2004-02-01;2;15;13643
2004-02-01;3;14;13447
2004-02-01;4;13;13330
2004-02-01;5;12;13400
2004-02-01;6;13;13676
2004-02-01;7;11;14288
2004-02-01;8;11;14930
2004-02-01;9;14;15850
2004-02-01;10;17;16444
2004-02-01;11;21;16648
2004-02-01;12;24;16719
2004-02-01;13;27;16547
2004-02-01;14;28;16228
2004-02-01;15;30;15954
2004-02-01;16;31;15914
2004-02-01;17;31;16594
2004-02-01;18;29;18122
2004-02-01;19;28;17982
2004-02-01;20;26;17270
2004-02-01;21;26;16890
2004-02-01;22;26;16224
2004-02-01;23;24;15397
2004-02-01;24;24;14529
2004-02-02;1;22;13494
2004-02-02;2;20;12980
2004-02-02;3;21;12859
2004-02-02;4;20;12928
2004-02-02;5;19;13265
2004-02-02;6;18;14473
2004-02-02;7;16;16782
2004-02-02;8;15;18082
2004-02-02;9;18;18248
2004-02-02;10;23;18184
2004-02-02;11;27;18097
2004-02-02;12;30;17852
2004-02-02;13;32;17489
2004-02-02;14;33;17241
2004-02-02;15;34;16965
2004-02-02;16;34;16898
2004-02-02;17;34;17523
2004-02-02;18;32;19329
2004-02-02;19;30;19722
2004-02-02;20;27;19335
2004-02-02;21;26;18591
2004-02-02;22;26;17420
2004-02-02;23;23;15724
2004-02-02;24;22;14396
2004-02-03;1;20;13563
2004-02-03;2;20;13173
2004-02-03;3;19;12982
2004-02-03;4;18;13011
2004-02-03;5;18;13362
2004-02-03;6;20;14488
2004-02-03;7;22;16828
2004-02-03;8;22;18142
2004-02-03;9;24;18391
2004-02-03;10;26;18396
2004-02-03;11;28;18378
2004-02-03;12;29;18269
2004-02-03;13;30;18074
2004-02-03;14;31;17917
2004-02-03;15;32;17784
2004-02-03;16;32;17888
2004-02-03;17;32;18643
2004-02-03;18;31;19930
2004-02-03;19;31;19977
2004-02-03;20;32;19455
2004-02-03;21;32;18566
2004-02-03;22;33;17239
2004-02-03;23;34;15482
2004-02-03;24;34;13941
2004-02-04;1;35;12923
2004-02-04;2;36;12393
2004-02-04;3;35;12208
2004-02-04;4;34;12197
2004-02-04;5;33;12492
2004-02-04;6;34;13636
2004-02-04;7;34;15863
2004-02-04;8;34;17062
2004-02-04;9;36;17257
2004-02-04;10;37;17360
2004-02-04;11;38;17286
2004-02-04;12;39;17172
2004-02-04;13;39;16994
2004-02-04;14;40;16794
2004-02-04;15;40;16574
2004-02-04;16;39;16557
2004-02-04;17;37;17142
2004-02-04;18;35;18830
2004-02-04;19;32;19365
2004-02-04;20;30;19031
2004-02-04;21;29;18367
2004-02-04;22;28;17247
2004-02-04;23;27;15674
2004-02-04;24;27;14118
2004-02-05;1;26;13241
2004-02-05;2;25;12829
2004-02-05;3;25;12677
2004-02-05;4;25;12702
2004-02-05;5;24;13069
2004-02-05;6;24;14325
2004-02-05;7;23;16678
2004-02-05;8;23;17912
2004-02-05;9;24;18012
2004-02-05;10;25;17916
2004-02-05;11;28;17819
2004-02-05;12;30;17639
2004-02-05;13;32;17300
2004-02-05;14;32;17216
2004-02-05;15;33;17123
2004-02-05;16;33;17232
2004-02-05;17;32;17824
2004-02-05;18;32;19270
2004-02-05;19;31;19544
2004-02-05;20;30;19100
2004-02-05;21;30;18156
2004-02-05;22;29;17013
2004-02-05;23;29;15529
2004-02-05;24;29;14108
2004-02-06;1;28;13153
2004-02-06;2;28;12654
2004-02-06;3;28;12464
2004-02-06;4;28;12435
2004-02-06;5;27;12721
2004-02-06;6;27;13859
2004-02-06;7;27;15945
2004-02-06;8;26;17370
2004-02-06;9;25;17997
2004-02-06;10;26;18333
2004-02-06;11;26;18684
2004-02-06;12;27;18793
2004-02-06;13;27;18676
2004-02-06;14;28;18522
2004-02-06;15;29;18285
2004-02-06;16;31;18157
2004-02-06;17;31;18588
2004-02-06;18;32;19500
2004-02-06;19;32;19226
2004-02-06;20;32;18449
2004-02-06;21;32;17618
2004-02-06;22;32;16520
2004-02-06;23;31;15213
2004-02-06;24;32;13860
2004-02-07;1;31;12846
2004-02-07;2;31;12325
2004-02-07;3;31;12010
2004-02-07;4;31;11883
2004-02-07;5;31;11936
2004-02-07;6;31;12338
2004-02-07;7;32;13171
2004-02-07;8;32;14106
2004-02-07;9;32;15281
2004-02-07;10;32;16090
2004-02-07;11;33;16404
2004-02-07;12;35;16409
2004-02-07;13;36;16062
2004-02-07;14;37;15647
2004-02-07;15;37;15396
2004-02-07;16;37;15294
2004-02-07;17;37;15745
2004-02-07;18;35;17068
2004-02-07;19;34;17326
2004-02-07;20;32;16971
2004-02-07;21;30;16476
2004-02-07;22;28;15785
2004-02-07;23;26;14869
2004-02-07;24;25;13818
2004-02-08;1;22;13029
2004-02-08;2;21;12541
2004-02-08;3;20;12337
2004-02-08;4;20;12300
2004-02-08;5;19;12424
2004-02-08;6;17;12855
2004-02-08;7;15;13527
2004-02-08;8;13;14290
2004-02-08;9;12;15355
2004-02-08;10;13;16060
2004-02-08;11;15;16410
2004-02-08;12;17;16567
2004-02-08;13;20;16468
2004-02-08;14;21;16129
2004-02-08;15;23;15809
2004-02-08;16;24;15772
2004-02-08;17;24;16407
2004-02-08;18;23;18110
2004-02-08;19;22;18760
2004-02-08;20;22;18465
2004-02-08;21;21;17819
2004-02-08;22;21;16714
2004-02-08;23;21;15409
2004-02-08;24;22;14237
2004-02-09;1;21;13311
2004-02-09;2;22;12962
2004-02-09;3;22;12889
2004-02-09;4;21;12883
2004-02-09;5;22;13219
2004-02-09;6;22;14475
2004-02-09;7;21;16826
2004-02-09;8;21;18093
2004-02-09;9;22;18323
2004-02-09;10;25;18311
2004-02-09;11;29;18232
2004-02-09;12;34;17962
2004-02-09;13;36;17679
2004-02-09;14;37;17398
2004-02-09;15;38;17055
2004-02-09;16;38;17158
2004-02-09;17;38;17765
2004-02-09;18;37;19238
2004-02-09;19;37;19468
2004-02-09;20;37;18955
2004-02-09;21;37;18078
2004-02-09;22;37;16817
2004-02-09;23;37;15176
2004-02-09;24;37;13682
2004-02-10;1;37;12720
2004-02-10;2;36;12227
2004-02-10;3;36;11988
2004-02-10;4;35;11976
2004-02-10;5;35;12235
2004-02-10;6;34;13406
2004-02-10;7;33;15774
2004-02-10;8;32;16956
2004-02-10;9;33;17040
2004-02-10;10;36;16910
2004-02-10;11;39;16875
2004-02-10;12;41;16723
2004-02-10;13;41;16502
2004-02-10;14;42;16356
2004-02-10;15;43;16168
2004-02-10;16;42;16140
2004-02-10;17;42;16641
2004-02-10;18;41;18121
2004-02-10;19;40;18645
2004-02-10;20;37;18319
2004-02-10;21;35;17751
2004-02-10;22;34;16620
2004-02-10;23;35;14870
2004-02-10;24;34;13433
2004-02-11;1;33;12511
2004-02-11;2;33;12094
2004-02-11;3;31;11918
2004-02-11;4;30;11959
2004-02-11;5;30;12278
2004-02-11;6;30;13490
2004-02-11;7;30;15872
2004-02-11;8;29;17101
2004-02-11;9;30;17266
